	key	final_y_pred	model_correct	fold	mouse_id	diet	vendor	high_fiber	chow_highFiber	bloom_status	model
291	charles_river	charles_river	1	f0	3	3	0	0	0	1	svc
292	charles_river	charles_river	1	f0	4	3	0	0	0	1	svc
293	charles_river	charles_river	1	f0	5	4	0	1	1	0	svc
294	charles_river	charles_river	1	f0	6	0	0	0	0	1	svc
295	taconic	taconic	1	f0	7	2	1	0	1	0	svc
296	taconic	taconic	1	f0	8	2	1	0	1	0	svc
297	charles_river	charles_river	1	f0	9	4	1	1	1	0	svc
298	charles_river	charles_river	1	f1	10	1	0	1	1	0	svc
299	charles_river	charles_river	1	f1	11	0	0	0	0	1	svc
300	taconic	taconic	1	f1	12	4	0	1	1	0	svc
301	taconic	taconic	1	f1	13	3	1	0	0	1	svc
302	taconic	taconic	1	f1	14	0	1	0	0	1	svc
303	charles_river	charles_river	1	f1	15	0	1	0	0	1	svc
304	charles_river	charles_river	1	f1	16	1	0	1	1	0	svc
305	charles_river	charles_river	1	f1	17	0	0	0	0	1	svc
306	charles_river	charles_river	1	f1	18	1	0	1	1	0	svc
307	charles_river	charles_river	1	f1	19	0	0	0	0	1	svc
308	charles_river	charles_river	1	f2	20	2	0	0	1	0	svc
309	charles_river	charles_river	1	f2	21	1	0	1	1	0	svc
310	taconic	taconic	1	f2	22	2	0	0	1	0	svc
311	taconic	taconic	1	f2	23	3	1	0	0	1	svc
312	charles_river	charles_river	1	f2	24	0	1	0	0	1	svc
313	taconic	taconic	1	f2	25	3	0	0	0	1	svc
314	taconic	taconic	1	f2	26	1	1	1	1	1	svc
315	taconic	taconic	1	f2	27	2	1	0	1	0	svc
316	taconic	taconic	1	f2	28	2	1	0	1	1	svc
317	taconic	taconic	1	f2	29	4	1	1	1	0	svc
318	charles_river	charles_river	1	f3	30	0	1	0	0	1	svc
319	taconic	taconic	1	f3	31	4	0	1	1	0	svc
320	taconic	taconic	1	f3	32	3	1	0	0	1	svc
321	charles_river	charles_river	1	f3	33	1	1	1	1	0	svc
322	charles_river	charles_river	1	f3	34	4	0	1	1	0	svc
